IM2LATEX HME,IM2LATEX HME,IM2LATEX HME,IM2LATEX HME,IM2LATEX PME,IM2LATEX PME,IM2LATEX PME,IM2LATEX PME
width,height,aspect ratio,title,width,height,aspect ratio,title
600,100,6.0,100047.png,1028,102,10.07843137254902,100047.png
160,40,4.0,100096.png,224,62,3.6129032258064515,100096.png
360,60,6.0,100099.png,467,101,4.623762376237623,100099.png
200,40,5.0,10011.png,317,56,5.660714285714286,10011.png
360,60,6.0,10012.png,419,85,4.929411764705883,10012.png
320,40,8.0,100121.png,507,57,8.894736842105264,100121.png
200,40,5.0,100136.png,329,49,6.714285714285714,100136.png
160,40,4.0,100141.png,284,50,5.68,100141.png
120,50,2.4,100234.png,157,48,3.2708333333333335,100234.png
360,60,6.0,100237.png,152,89,1.7078651685393258,100237.png
360,60,6.0,100246.png,289,93,3.10752688172043,100246.png
280,40,7.0,100306.png,466,56,8.321428571428571,100306.png
800,100,8.0,100354.png,1095,93,11.774193548387096,100354.png
400,50,8.0,100394.png,666,56,11.892857142857142,100394.png
280,40,7.0,100396.png,437,62,7.048387096774194,100396.png
320,40,8.0,10043.png,548,58,9.448275862068966,10043.png
200,40,5.0,100555.png,309,56,5.517857142857143,100555.png
500,100,5.0,100571.png,737,87,8.471264367816092,100571.png
120,50,2.4,100596.png,70,50,1.4,100596.png
360,60,6.0,100610.png,446,94,4.74468085106383,100610.png
200,50,4.0,10067.png,327,87,3.7586206896551726,10067.png
320,40,8.0,100683.png,504,53,9.50943396226415,100683.png
360,60,6.0,100716.png,458,89,5.146067415730337,100716.png
500,100,5.0,100741.png,772,88,8.772727272727273,100741.png
360,60,6.0,10078.png,426,101,4.217821782178218,10078.png
320,40,8.0,100805.png,551,53,10.39622641509434,100805.png
360,60,6.0,100832.png,341,98,3.479591836734694,100832.png
200,50,4.0,100841.png,279,88,3.1704545454545454,100841.png
600,100,6.0,100848.png,967,57,16.964912280701753,100848.png
500,100,5.0,100876.png,734,111,6.612612612612613,100876.png
240,40,6.0,100947.png,352,81,4.345679012345679,100947.png
240,40,6.0,100977.png,369,49,7.530612244897959,100977.png
360,100,3.6,100980.png,320,104,3.076923076923077,100980.png
200,40,5.0,101005.png,349,48,7.270833333333333,101005.png
360,100,3.6,101011.png,573,116,4.939655172413793,101011.png
240,40,6.0,101052.png,365,56,6.517857142857143,101052.png
280,40,7.0,101093.png,469,54,8.685185185185185,101093.png
360,60,6.0,101174.png,367,100,3.67,101174.png
120,50,2.4,101291.png,161,87,1.8505747126436782,101291.png
280,40,7.0,101308.png,466,57,8.175438596491228,101308.png
360,100,3.6,101412.png,421,115,3.6608695652173915,101412.png
360,60,6.0,101533.png,402,88,4.568181818181818,101533.png
360,60,6.0,101649.png,330,94,3.5106382978723403,101649.png
360,60,6.0,101666.png,302,93,3.247311827956989,101666.png
360,60,6.0,101733.png,473,94,5.031914893617022,101733.png
240,40,6.0,101735.png,398,56,7.107142857142857,101735.png
360,60,6.0,101791.png,407,94,4.329787234042553,101791.png
360,100,3.6,101796.png,264,111,2.3783783783783785,101796.png
120,50,2.4,101804.png,150,59,2.542372881355932,101804.png
400,160,2.5,101811.png,671,98,6.846938775510204,101811.png
160,40,4.0,10184.png,220,45,4.888888888888889,10184.png
280,50,5.6,101850.png,468,88,5.318181818181818,101850.png
200,50,4.0,101870.png,335,92,3.641304347826087,101870.png
400,160,2.5,101915.png,658,93,7.075268817204301,101915.png
320,40,8.0,102050.png,514,56,9.178571428571429,102050.png
120,50,2.4,102078.png,132,94,1.4042553191489362,102078.png
360,60,6.0,102096.png,474,94,5.042553191489362,102096.png
200,50,4.0,102144.png,316,87,3.632183908045977,102144.png
280,50,5.6,102178.png,472,87,5.425287356321839,102178.png
280,40,7.0,102186.png,426,59,7.220338983050848,102186.png
240,40,6.0,102210.png,395,53,7.452830188679245,102210.png
360,60,6.0,102214.png,303,96,3.15625,102214.png
360,100,3.6,102225.png,404,104,3.8846153846153846,102225.png
200,40,5.0,10223.png,303,62,4.887096774193548,10223.png
280,40,7.0,102236.png,469,42,11.166666666666666,102236.png
120,50,2.4,102251.png,177,50,3.54,102251.png
360,60,6.0,10227.png,402,88,4.568181818181818,10227.png
240,40,6.0,102338.png,370,66,5.606060606060606,102338.png
120,50,2.4,102407.png,102,53,1.9245283018867925,102407.png
200,40,5.0,102427.png,333,50,6.66,102427.png
240,50,4.8,102431.png,402,86,4.674418604651163,102431.png
360,60,6.0,102505.png,513,99,5.181818181818182,102505.png
360,60,6.0,102637.png,261,100,2.61,102637.png
240,40,6.0,102830.png,378,53,7.132075471698113,102830.png
360,100,3.6,102851.png,233,99,2.3535353535353534,102851.png
360,60,6.0,102871.png,443,98,4.520408163265306,102871.png
120,50,2.4,102969.png,102,54,1.8888888888888888,102969.png
240,50,4.8,102993.png,370,81,4.567901234567901,102993.png
360,60,6.0,102994.png,409,91,4.4945054945054945,102994.png
360,100,3.6,103009.png,526,101,5.207920792079208,103009.png
360,60,6.0,103032.png,342,111,3.081081081081081,103032.png
240,40,6.0,103055.png,358,56,6.392857142857143,103055.png
360,60,6.0,103102.png,362,102,3.549019607843137,103102.png
280,40,7.0,103143.png,475,62,7.661290322580645,103143.png
240,40,6.0,103204.png,394,47,8.382978723404255,103204.png
360,60,6.0,103228.png,412,92,4.478260869565218,103228.png
600,100,6.0,103477.png,1036,85,12.188235294117646,103477.png
360,60,6.0,103504.png,276,95,2.905263157894737,103504.png
360,100,3.6,10401.png,182,105,1.7333333333333334,10401.png
240,50,4.8,1046.png,392,87,4.505747126436781,1046.png
320,40,8.0,1047.png,496,58,8.551724137931034,1047.png
360,100,3.6,1052.png,277,113,2.4513274336283186,1052.png
240,40,6.0,10535.png,219,130,1.6846153846153846,10535.png
400,50,8.0,10593.png,640,56,11.428571428571429,10593.png
360,60,6.0,10595.png,319,93,3.4301075268817205,10595.png
240,40,6.0,10637.png,374,59,6.338983050847458,10637.png
